# A Sociedade dos Ratos Sedentos: Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | English                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| - Sons estranhos ouvidos sob taverna abandonada em Greyhawk.  <br>- Descoberta de um laboratório arcano selado sob a estrutura.  <br>- Ratos inteligentes revelam sociedade tribal com culto de sangue.  <br>- Interação tensa com líderes: exigem oferendas de sangue ou segredos.  <br>- Batalha intensa contra Ratos de Sangue e o Vidente Escarlate.  <br>- Ritual interrompido antes da invocação de uma criatura profana.  <br>- Colapso total da caverna; cidade ignora o que se passou. | - Strange sounds heard beneath an abandoned tavern in Greyhawk.  <br>- Discovery of a sealed arcane lab below the structure.  <br>- Intelligent rats reveal tribal society with blood cult.  <br>- Tense interaction with leaders: demand offerings of blood or secrets.  <br>- Fierce battle against Blood Rats and the Scarlet Seer.  <br>- Ritual stopped before summoning a profane creature.  <br>- Total cave collapse; city unaware of what transpired. |
| **NPCs:** Vidente Escarlate, Rato-Escriba, Rato-Coral, Ratos de Sangue                                                                                                                                                                                                                                                                                                                                                                                                                          | **NPCs:** Scarlet Seer, Scribe Rat, Choir Rat, Blood Rats                                                                                                                                                                                                                                                                                                                                                                                                      |
| **Loot:** Garrafas encantadas, memória arcana, ouro escondido                                                                                                                                                                                                                                                                                                                                                                                                                                   | **Loot:** Enchanted vials, arcane memory, hidden gold                                                                                                                                                                                                                                                                                                                                                                                                          |
| **Data:** 2025-06-19                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | **Date:** 2025-06-19                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| **Ficheiros:** s24_sociedade_dos_ratos_sedentos.md, s24_sociedade_dos_ratos_sedentos.txt                                                                                                                                                                                                                                                                                                                                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                |

<!-- ==== s24_sociedade_dos_ratos_sedentos_ready.md ==== -->

# Sessão 24 — A Sociedade dos Ratos Sedentos: Ready to Play

|Português|English|
|---|---|
|**Introdução:** Os aventureiros são contratados para investigar ruídos vindos de uma taverna abandonada no Distrito de Jogo de Greyhawk.  <br>  <br>**Cena 1: A Taverna Abandonada**  <br>- Local em ruínas com símbolos arcanos apagados.  <br>- Compartimento secreto leva a um laboratório antigo.  <br>  <br>**Cena 2: O Laboratório de Alzar Vonn**  <br>- Frascos misteriosos, magia residual, armadilhas ilusórias.  <br>- Ratos inteligentes confrontam os intrusos: exigem sangue, segredos ou promessas.  <br>  <br>**Cena 3: A Caverna Viva**  <br>- Túneis orgânicos, presença ritual.  <br>- Chegada à Câmara Ritual, onde o Vidente Escarlate inicia um ritual profano.  <br>  <br>**Cena 4: O Confronto Final**  <br>- Batalha contra o Vidente e seus ratos escolhidos.  <br>- Ritual interrompido; colapso iminente.  <br>- Fuga por um túnel secundário.|**Introduction:** The adventurers are hired to investigate strange noises from an abandoned tavern in Greyhawk’s Gaming District.  <br>  <br>**Scene 1: The Abandoned Tavern**  <br>- Ruined building with faded arcane symbols.  <br>- Hidden compartment leads to an old laboratory.  <br>  <br>**Scene 2: Alzar Vonn’s Laboratory**  <br>- Mysterious vials, residual magic, illusory traps.  <br>- Intelligent rats confront the intruders: demand blood, secrets, or promises.  <br>  <br>**Scene 3: The Living Cavern**  <br>- Organic tunnels, ritual presence.  <br>- Arrival at Ritual Chamber where the Scarlet Seer begins a profane summoning.  <br>  <br>**Scene 4: Final Confrontation**  <br>- Battle against the Seer and his chosen rats.  <br>- Ritual interrupted; imminent collapse.  <br>- Escape via secondary tunnel.|
|**NPCs:** Vidente Escarlate, Rato-Escriba, Rato-Coral, Ratos de Sangue|**NPCs:** Scarlet Seer, Scribe Rat, Choir Rat, Blood Rats|
|**Loot:** Garrafas encantadas, memória arcana, ouro escondido|**Loot:** Enchanted vials, arcane memory, hidden gold|
|**Data:** 2025-06-19|**Date:** 2025-06-19|
