# Eribend, Kobolds & O Baile de Blackfair  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| - Kythria leva grupo ao taberneiro; missão: criar contactos comerciais em Eribend e abrir rotas para Blackfair Manor/Two Fords.<br>- Viagem até acampamento de comerciantes; conhecem Myria (anã) e Jeraldina (meio-orc).<br>- Comerciantes relatam distúrbios e ataques recentes, ambiente de desconfiança.<br>- Ouvem gritos, correm para o início do acampamento: ataque de kobolds e kobold alado (Em honra de Nerzul!).<br>- Kai reconhece um dos kobolds como Cavaleiro da Luz, tenta protegê-lo; kobold suicida-se durante interrogatório.<br>- Entre os pertences dos kobolds: bilhete sobre o baile em Blackfair Manor, referência ao regresso da Dama Sombria, medalhões com moedas de bando rival de Greyhawk.<br>- Grupo ganha pistas de conspiração/ameaça para campanhas futuras.<br> | - Kythria brings group to the innkeeper; mission: establish trade contacts in Eribend and open routes to Blackfair Manor/Two Fords.<br>- Travel to merchant camp; meet Myria (dwarf) and Jeraldina (half-orc).<br>- Merchants report disturbances and recent attacks, atmosphere of distrust.<br>- Hear screams, rush to camp entrance: kobold and winged kobold attack (In honor of Nerzul!).<br>- Kai recognizes a kobold as a Knight of Light, tries to protect him; kobold commits suicide during questioning.<br>- Among the kobolds belongings: ticket to Blackfair Manor ball, reference to return of the Dark Lady, medallions with coins from rival Greyhawk gang.<br>- Group gains clues of conspiracy/threats for future campaigns.<br> |
| **PCs:** Kai, Grix, Varus, Triss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | **PCs:** Kai, Grix, Varus, Triss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| **NPCs:** Kythria, Taverneiro, Myria, Jeraldina, Cavaleiro da Luz (kobold), Torzac (referência), Dama Sombria (referência)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | **NPCs:** Kythria, Innkeeper, Myria, Jeraldina, Knight of Light (kobold), Torzac (reference), Dark Lady (reference)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| **Loot:** Bilhete do baile de Blackfair Manor, medalhões/moedas de Greyhawk, pistas de conspiração                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | **Loot:** Blackfair Manor ball ticket, Greyhawk gang medallions/coins, conspiracy clues                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| **Data:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | **Date:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| **Ficheiros de origem:** s06_eribend_kobolds_baile_blackfair_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | **Source files:** s06_eribend_kobolds_baile_blackfair_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |




















<!-- ==== s06_eribend_kobolds_baile_blackfair_ready.md ==== -->

# Eribend, Kobolds & O Baile de Blackfair  Ready to Play

| Português | English |
|-----------|---------|
| **Introdução:** Kythria convoca o grupo a pedido do taberneiro para missão comercial: criar contactos em Eribend e rotas para Blackfair Manor/Two Fords.<br><br>**Cena 1: Acampamento de Comerciantes**<br>- Conhecem Myria (anã) e Jeraldina (meio-orc), comerciantes preocupadas.<br>- Podem obter rumores sobre ataques e ambiente tenso.<br><br>**Cena 2: Ataque dos Kobolds**<br>- Gritos; kobolds e kobold alado atacam comerciantes.<br>- Kai tenta intervir ao reconhecer um Cavaleiro da Luz entre eles.<br>- Kobold suicida-se antes de revelar tudo.<br><br>**Cena 3: Descobertas & Ganchos**<br>- Loot: bilhete do baile de Blackfair Manor, menção à Dama Sombria, medalhões/moedas de Greyhawk.<br>- Novos ganchos de conspiração e culto para campanhas futuras.<br> | **Introduction:** Kythria calls the group at the innkeepers request for a trade mission: create contacts in Eribend and routes to Blackfair Manor/Two Fords.<br><br>**Scene 1: Merchant Camp**<br>- Meet Myria (dwarf) and Jeraldina (half-orc), worried merchants.<br>- Can get rumors about attacks and tense atmosphere.<br><br>**Scene 2: Kobold Attack**<br>- Screams; kobolds and winged kobold attack merchants.<br>- Kai tries to intervene, recognizing a Knight of Light among them.<br>- Kobold commits suicide before revealing all.<br><br>**Scene 3: Discoveries & Hooks**<br>- Loot: Blackfair Manor ball ticket, mention of the Dark Lady, Greyhawk medallions/coins.<br>- New conspiracy and cult hooks for future campaigns.<br> |
| **PCs:** Kai, Grix, Varus, Triss | **PCs:** Kai, Grix, Varus, Triss |
| **NPCs:** Kythria, Taverneiro, Myria, Jeraldina, Cavaleiro da Luz (kobold), Torzac (referência), Dama Sombria (referência) | **NPCs:** Kythria, Innkeeper, Myria, Jeraldina, Knight of Light (kobold), Torzac (reference), Dark Lady (reference) |
| **Loot:** Bilhete do baile de Blackfair Manor, medalhões/moedas de Greyhawk, pistas de conspiração | **Loot:** Blackfair Manor ball ticket, Greyhawk gang medallions/coins, conspiracy clues |
| **Data:** 2025-02-13 | **Date:** 2025-02-13 |
| **Ficheiros de origem:** s06_eribend_kobolds_baile_blackfair_ready.md | **Source files:** s06_eribend_kobolds_baile_blackfair_ready.md |




















<!-- ==== s06_eribend_kobolds_baile_blackfair_summary.md ==== -->

# Eribend, Kobolds & O Baile de Blackfair

| Português | English |
|-----------|---------|
| **Descrição:** A pedido do taberneiro (via Kythria), o grupo (Kai, Grix, Varus, Triss) parte para Eribend para criar contactos e rotas comerciais. Encontram Myria e Jeraldina, comerciantes alarmadas por ataques de kobolds, incluindo um kobold alado. Kai reconhece um Cavaleiro da Luz entre os inimigos; tenta salvá-lo, mas o kobold suicida-se. Entre o saque: bilhete para o baile de Blackfair Manor, menção ao regresso da Dama Sombria, moedas de um bando rival de Greyhawk. Novos ganchos de conspiração para futuras campanhas.<br> | **Description:** At the innkeepers (via Kythria) request, the group (Kai, Grix, Varus, Triss) goes to Eribend to establish trade contacts and routes. They meet Myria and Jeraldina, merchants alarmed by kobold attacks, including a winged kobold. Kai recognizes a Knight of Light among the enemies; tries to save him, but the kobold commits suicide. Among the loot: ticket for the Blackfair Manor ball, mention of the Dark Ladys return, coins from a rival Greyhawk gang. New conspiracy hooks for future campaigns.<br> |
| **PCs:** Kai, Grix, Varus, Triss | **PCs:** Kai, Grix, Varus, Triss |
| **NPCs:** Kythria, Taverneiro, Myria, Jeraldina, Cavaleiro da Luz (kobold), Torzac (referência), Dama Sombria (referência) | **NPCs:** Kythria, Innkeeper, Myria, Jeraldina, Knight of Light (kobold), Torzac (reference), Dark Lady (reference) |
| **Loot:** Bilhete do baile de Blackfair Manor, medalhões/moedas de Greyhawk, pistas de conspiração | **Loot:** Blackfair Manor ball ticket, Greyhawk gang medallions/coins, conspiracy clues |
| **Data:** 2025-02-13 | **Date:** 2025-02-13 |
| **Ficheiros de origem:** s06_eribend_kobolds_baile_blackfair_resumo.md | **Source files:** s06_eribend_kobolds_baile_blackfair_resumo.md |


















